
<0000> "La La La Laaan."
<0130> "Muaa."
<0131> "Agora!"
<0132> "Jamais!"
<0133> "Ela sumiu!?"
<0134> "Mas como!?"
<0135> "Eu acabei de me lembrar de que ela tem esse tipo de habilidade especial."
<0136> "Nós não podemos pegá-la."
<0137> "Sem crise!"
<0138> "?"
<0139> "Mesmo que eu tenha essa aparência, eu ainda sou um cachorro."
<0140> "Eu me orgulho do meu olfato."
<0141> "Oh, QP, você nunca pareceu mais útil do que agora."
<0142> "Por aqui."
<0143> "Vamos lá!"
<0144> "*Cheira, cheira*..."
<0145> "Não há dúvidas, nós estamos bem perto da Poppo."
<0146> "Onde ela está..."
<0147> "Poppopo!"
<0148> "Olhem, ali!"
<0149> "Eu nunca vi uma criatura que nem você... Qual o seu nome?"
<0150> "Marie Poppo."
<0151> "Ela está com alguém."
<0152> "Marie... Você deseja dançar comigo?"
<0153> "Poppo!"
<0154> "Nós vamos nos aproximar silenciosamente por trás..."
<0155> "Okay!"
<0156> "Hah! Alguém está aqui!"
<0157> "Tem vários... estranhos."
<0158> "Elas não nos perceberam cedo demais?"
<0159> "Poppo é boa... Ela não tem aquelas orelhas de animais à toa, assim como eu."
<0160> "Então é isso...?"
<0161> "Poppo! Poppopos!"
<0162> "Aha, eles são seus amigos, não é mesmo, Marie?"
<0163> "Não exatamente."
<0164> "Então acho que vou chamar alguém dos meus amigos para vir aqui também."
<0165> "Suguri."
<0166> "Hm, como você vai?"
<0167> "Eita! De onde que ela surgiu!"
<0168> "Ela surgiu do nada."
<0169> "Não me faça soar igual a um inseto."
<0170> "Nós estavamos falando sobre juntar algumas pessoas e fazer algo divertido juntos."
<0171> "Você tem tempo livre, não é mesmo, Suguri?"
<0172> "Quer se juntar a nós?"
<0173> "Claro, tenho um tempinho de qualquer forma."
<0174> "Parece que nós teremos que jogar com eles."
<0175> "Sim... Mas a Poppo talvez deixe uma brecha enquanto estiver jogando..."
<0176> "E daí poderemos conseguir nossas coisas de volta."
<0177> "Mas que plano maravilhoso!"
<0178> "Poppopo!"
<0179> "Tudo bem então, vamos começar."
<0180> "Poppo!!"
<0181> "Aeeeeeee! Eu venci!"
<0182> "Popo..."
<0183> "É muito divertido jogar com várias pessoas."
<0184> "Sim, eu acho até que abaixei a guarda demais já que fazia um tempo que não me divertia assim."
<0185> "QP."
<0186> "O que foi, Marc?"
<0187> "Nós não viemos aqui só para jogar, certo...?"
<0188> "Ah é!?"
<0189> "Ei, por favor!"
<0190> "O que nós vamos fazer?"
<0191> "Nós já sabemos que cercar a Poppo não funciona... Precisamos de outro plano..."
<0192> "Po... Po... Po."
<0193> "Ãhn?"
<0194> "Pelo visto têm algo de errado com ela."
<0195> "Você está se sentindo doente?"
<0196> "Poooooo!!!!!"
<0197> "Eita, o que está acontecendo!!"
<0198> "Que lugar é esse?"
<0199> "Parece que fomos enviados a outro mundo."
<0200> "Ainda sim... este mundo é bem sombrio."
<0201> "Tenho certeza que voar por aqui seria difícil."
<0202> "Poppo!"
<0203> "Poppopo."
<0204> "É a Poppo!"
<0205> "Nós não vamos deixar você escapar mais... Ei espere."
<0206> "Têm algo de errado com ela..."
<0207> "Popo?"
<0208> "Popoo."
<0209> "Estou vendo duas Poppos."
<0210> "Isto é mau! Eu não consigo dizer qual das duas está com meu pudim!"
<0211> "É isso que é tão importante!?"
<0212> "Criatura estranha descoberta..."
<0213> "Quem é aquela!?"
<0214> "Fofa..."
<0215> "Poppo está envergonhada."
<0216> "Poppopo. Mas Poppo é muito mais fofa que você."
<0217> "Isso não é verdade! Poppo é mais fofa!"
<0218> "Poppopo!"
<0219> "Poppopo!!!"
<0220> "Elas estão lutando uma com a outra..."
<0221> "Parece que elas vão começar a sair na porrada a qualquer momento!"
<0222> "Uma delas ainda está com o míssil, certo?"
<0223> "Minha nossa, ele iria explodir."
<0224> "Isso está ficando perigoso."
<0225> "Melhor a gente parar elas agora!!"
<0226> "Nós conseguimos impedir uma explosão."
<0227> "Vocês duas não deviam lutar."
<0228> "Pooh."
<0229> "Popoooh."
<0230> "As duas são fofas."
<0231> "Popooh."
<0232> "Popooh."
<0233> "Ok, de acordo..."
<0234> "Não tem nenhum acordo aqui ainda."
<0235> "Nós ainda nem sequer sabemos porque existem duas Poppos."
<0236> "E nosso pertences também."
<0237> "Ah."
<0238> "Poppo."
<0239> "Não se “preo-ppo-pe”."
<0240> "Ãhn?"
<0241> "Vai tudo acabar na próxima fase."
<0242> "O que isso quer diz..."
<0243> "Ãhn? O que está acontecendo?"
<0244> "O mundo está começando a se distorcer."
<0245> "Parece que o chefão final está prestes a aparecer!"
<0246> "Nós estamos num local diferente!"
<0247> "Isso se parece demais com uma batalha final."
<0248> "Eu realmente curto essa sensação de calamidade iminente."
<0249> "Mas esse local é um pouco assustador."
<0250> "E instável..."
<0251> "Poppo!"
<0252> "Poppo!?"
<0253> "Sejam bem-vindos, Ó valentes aventureiros!"
<0254> "Quem disse isso... o Rei Demoníaco!?"
<0255> "O-hohoho! Exatamente!"
<0256> "Eu sou a Tomomo, a Grande Governante da Escuridão!"
<0257> "O quê?"
<0258> "Isto é... meio..."
<0259> "Eu não consigo botar em palavras essa sensação de decepção que sinto..."
<0260> "Eu estava esperando algo a mais do que isso..."
<0261> "Ahaha..."
<0262> "Eu não consigo sentir nem um pouco de carisma em você!"
<0263> "Isso é propaganda enganosa!"
<0264> "Você só está falando qualquer coisa que você quer! Meeeeh!"
<0265> "Deixa eu deixar algo bem claro aqui! Fui quem criei esse mundo, e todos vocês!"
<0266> "Wow! Agora sim é algo que um chefão final diria!"
<0267> "Vocês são todos peões moldados a partir de pessoas de mundos diferentes."
<0268> "E como chefão final, eu apareço na frente de vocês em toda a minha glória."
<0269> "E esse é todo o meu plano!"
<0270> "O quê?"
<0271> "Que tipo de plano é esse?"
<0272> "Eu não acho que você seja qualificada para ser uma chefão final!"
<0273> "Cale a boca!"
<0274> "Se você vai me tratar desse jeito, eu vou te mostrar todo meu poder!"
<0275> "Eu, Tomomo, vou derrotar a todos vocês e fazer vocês entenderem quanta carisma eu tenho!"
<0276> "Shalalalaan! Vitória!"
<0277> "Me diga que isso não é verdade..."
<0278> "Foi mal, mas..."
<0279> "Você tem que aceitar a realidade."
<0280> "Eu me sinto meio mal por ela."
<0281> "Eu também."
<0282> "Eu não quero a pena de vocês! Buááá!"
<0283> "Antes que você comece a chorar, existe mais algo que você precisa fazer."
<0284> "Me devolve logo meu pudim!"
<0285> "A QP não tem piedade..."
<0286> "Uu... Tudo bem."
<0287> "Poppo, devolva a eles tudo o que você roubou."
<0288> "Poppo!"
<0289> "Aeee!"
<0290> "Minha carteira! Eu posso pagar as contas por mais um mês."
<0291> "Finalmente... Agora posso continuar meu trabalho."
<0292> "Eu tenho que voltar logo para casa."
<0293> "Que bom para vocês."
<0294> "Agora que consegui meu pudim de volta, não tenho motivos para perder tempo aqui!"
<0295> "Vou apenas voltar para casa e curtir meu pudim!"
<0296> "Ei! Espera um pouco!"
<0297> "Não vou esperar!"
<0298> "Eu tenho mais coisas a dizer para vocês..."
<0299> "Uooooooh!"
<0300> "Ela se foi..."
<0301> "Na casa de QP..."
<0302> "Todo aquele trabalho que tive que colocar faz deste pudim ainda mais saboroso."
<0303> "Mastiga, mastiga*."
<0304> "Hoje foi mais um dia feliz."
