
<0000> 「由希，把布丁还给我！」
<0132> 「哦，你们找我有事吗？\n要过来被我烤吗？」
<0133> 「烤的东西有甜点就已经足够了，\n我要以神的名义阻止你。」
<0134> 「呼……呼……真好玩……」
<0135> 「呜……\n都做到这种程度了，她居然还能动吗。」
<0136> 「真是顽强啊……」
<0137> 「不过，感觉肚子有点饿了……\n好像还闻到了什么很好闻的气味……」
<0138> 「好闻的气味……我也闻到了。」
<0139> 「这是……\n我刚才想封印的布丁被烤得正合适，\n变成了烤布丁。」
<0140> 「真的吗！？」
<0141> 「盯——」
<0142> 「莫非……\n你想吃这个布丁？」
<0143> 「肚子饿了。」
<0144> 「没办法了，\n追求甜点的人，我是不会拒绝的……\n请慢用。」
<0145> 「咬……好吃……」
<0146> 「真是的，\n明明有着这么适合烤布丁的能力，\n为什么还要去投身争斗呢……」
<0147> 「烤布丁……？\n这是我烤的吗？」
<0148> 「是啊，\n这是在我们刚才战斗的时候，被你烤出来的。」
<0149> 「是这样啊。」
<0150> 「怎么了？」
<0151> 「咬……啊唔啊唔。」
<0152> 「真的太好吃了。\n我还想烤更多东西……\n烤出更多更多好吃的东西。」
<0153> 「星球破坏者，\n竟然想在战斗之外的地方使用\n自己的力量了吗……？」
<0154> 「毕竟，我现在还很饿嘛。」
<0155> 「……」
<0156> 「虽然只是巧合\n但竟然阻止了星球的导火线。」
<0157> 「这可不是巧合，\n这就是甜点的力量……布丁的力量。」
<0158> 「嗯，确实啊。」
<0159> 「看来尽管过于美味的甜点可能会引起争斗，\n但它的那份美味，也同样能够平息争斗啊。」
<0160> 「甜点破坏者！\n那么封印布丁的事……」
<0161> 「再观察一阵子吧。」
<0162> 「太棒了！」
<0163> 「别管那么多了，\n快来烤更多的甜点吧！」
<0164> 「是是是，别着急嘛。\n接下来我们就做牛奶布丁吧。」
<0165> 「小甜破……\n那种甜点是不用烤的……」
<0166> 「无所谓啦，\n好吃的话不烤也可以。」
<0167> 「无所谓的吗！？」
<0168> 「呵呵呵。」
<0169> 「我是甜点破坏者。\n愿世间所有争斗都可以被甜点之力平息。」
