// intro
// (kanata)
<0000> 「咕哇……」
<0086> （和姬世小姐不同，有些人可能会趁你现在\n技巧生疏，与你交手赚取名声，请务必\n多加小心。）
// (popomi)
<0087> 「喂，须藤，你怎么能随便把别人的个人\n情报——」
// (rinse)
<0088> 「小留果，小奈多，还有大家，下次一定要再和我对战啊。」
// (rinse)
<0089> 「还有玛丽，你要多和强敌战斗战斗再战斗……\n尽快努力找回状态吧。\n我就先告辞了。」
// (mimomo)
<0090> 「随、随心所欲闹了一通就跑了……」
// (haruka)
<0091> 「不好意思啦，我们发小就是这样的一个人。」
// (chuu)
<0092> 「尽管发生了不少事，但最后水晶说的事情很让人在意啊。」
// (mimomo)
<0093> 「也就是说有人会盯上啵啵美还没找回状态的机会。」
// (popomi)
<0094> 「啵啵我倒是无所谓。\n无论是找回状态还是培养后辈，强劲的对手都是不可或缺的！」
// (popomi)
<0095> 「大家一起努力变强！然后我们一起去！」
// (popomi)
<0096> 「全国百橙锦标赛！」
// (everyone)
<0097> 「百橙锦标赛！？」
// (renko)
<0098> 「喂？前辈。\n对决好像已经结束了。」
// (unknown)
<0099> 「玛丽·啵噗状态如何？」
// (renko)
<0100> 「看来她还没能恢复到之前的实力。」
// (unknown)
<0101> 「不错不错，尽管上次失手了，但这一次会是干掉她的好时机。」
// (renko)
<0102> 「诶～\n不觉得这样有点卑鄙吗，前辈。」
// (unknown)
<0103> 「你在说什么呢，炼子。\n这都怪她自己状态下滑，能有什么卑鄙的。」
// (renko)
<0104> 「嗯……\n话是这么说没错。」
// (unknown)
<0105> 「不过嘛，要是能赢得了的话，我也不介意用上灌铅骰子。」
// (renko)
<0106> 「咦？」
// (unknown)
<0107> 「不管怎样，能够打倒玛丽·啵噗，成为百橙冠军的，一定会是我们鉾须贺高中。」

