
<0000> 「这一天终于到来了……\n选出该由谁来君临我等甜点之神\n的神圣日子……」
<0055> 「虽然不知道这是在说什么……\n但这样下去的话红豆冰淇淋就要……」
<0056> 「布丁也是……\n啊，说起来小Q呢……！？」
<0057> 「哼哼哼哼！那条笨狗又能有什么能耐呢！\n狗怎么可能收集得到巧克力呢！\n啊哈哈哈！」
<0058> 「简、简直就是恶魔……」
<0059> 「抱歉，小Q……\n我没能……保护好布丁……」
<0060> 「不要放弃！」
<0061> 「什么！？」
<0062> 「小、小Q……！！」
<0063> 「哼，终于来了，大大咧咧地跑出来了。\n来见识一下吧！我的巧克力！\n然后陷入绝望吧！」
<0064> 「呵……」
<0065> 「什么…？有什么好笑的！」
<0066> 「确实！我一个人是做不到的！\n没有人会给我巧克力的！\n毕竟，巧克力对小狗来说就是剧毒啊！！！\n就算成为甜点之神这也是无法改变的！！」
<0067> 「但是，我这边可是有着！\n相信着我的最好的搭档！」
<0068> 「那、那是……！」
<0069> 「<player>……！」
<0070> 「莫、莫非，\n<player>成为了守护者的同伴吗……！？」
<0071> 「甜点破坏者！见识一下吧！\n我们的力量！」
<0072> 「怎么回事？怎么周围突然变暗了……」
<0073> 「有什么东西挡住了太阳……\n那是月亮吗……？」
<0074> 「不对！！那是……」
<0075> 「巧克……力……？」
<0076> 「竟然是能让人误以为是月亮的\n巨大巧克力……！？\n怎么可能……\n就算是收集了全世界的巧克力，\n也不会有这么大的吧！！」
<0077> 「遍布全世界的各位的爱！\n那热爱甜点的感情！\n这一切聚集而成的巧克力之星！\n现在就在你的眼前！」
<0078> 「不可能！\n怎么可能会发生这种事情……」
<0079> 「当然可能了！\n因为今天可是！」
<0080> 「情人节啊啊啊啊啊啊啊啊啊啊！」
<0081> 「啊，啊哇哇……」
<0082> 「请好好接下吧，小甜破……！！\n这就是我、<player>还有世界各地的人们的……\n那份对于甜点的爱！！！！」
<0083> 「巧克力圆月冲击！！！！」
<0084> 「呜啊啊啊啊啊啊啊啊啊啊啊啊！！！」
<0085> 「赢了……」
<0086> 「甜点守护者……\n我彻彻底底地输了。」
<0087> 「干得好，小Q！」
<0088> 「不愧是小Q啊！」
<0089> 「从今天开始，你就是甜点六神之王……\n由你引领甜点界的未来吧……」
<0090> 「嗯……虽然王什么的我不太懂……\n不过交给我吧！\n我会守护所有甜点的未来！\n毕竟我可是甜点守护者啊！」
<0091> 「啊……\n不过，今天的胜利可不只属于我一个人。」
<0092> 「<player>，\n幸好有你在，我才能守护得了重要的东西！\n实在是太感谢你了！」
<0093> 「嗯，也就是说，\n咳咳。」
<0094> 「那个……感谢你一直都在帮助我，\n所以我要把这个交给<player>你……\n那个……\n该说是我心意还是什么呢……嘿！」
<0095> 「总、总之请收下吧，\n我全心全意的LOVE！」
<0096> 「<player>，情人节快乐！」
// ValentinesEpilogue
// (sweetblogger)
<0097> 「不好意思，我们来晚了～」
// (sweetcreator)
<0098> 「评论者非要我创造出狗也能吃的\n巧克力……\n真受不了她。」
// (sweetblogger)
<0099> 「我做了大家都能吃个够的量，\n一定要多吃点啊！」
// (qp)
<0100> 「那个……」
// (tmsw)
<0101> 「……」
// (sweetb)
<0102> 「……」
// (saki)
<0103> 「诶嘿～♥」
