
<0000> 天使「嘿呀」
<0132> 天使「為了勝利的話什麼都要拿來利用」\n惡魔「啊，嗯……」
<0133> 惡魔「這個東西到底該怎麼用！」\n天使「用了就會知道了！」
<0134> 天使「想要用一次試試看呢，嘻嘻嘻」\n惡魔「露出邪惡的表情咯，你這傢伙」
<0135> 天使「這就是慈悲……」\n惡魔「好、好耀眼……」
<0136> 天使「治癒之力！」\n惡魔「呀啊啊！」
<0137> 天使「治癒的代價，我就收下了」\n惡魔「把慈悲強買強賣嗎……」
<0138> 天使「天使之手——！」
<0139> 惡魔「好，看看誰會成為犧牲品呢？」\n天使「混蛋惡魔——！」
<0140> 惡魔「哼，哼，哼，惡魔之手……！」
<0141> 惡魔「被我的力量嚇得瑟瑟發抖吧！」\n天使「瑟瑟發抖吧——！」
<0142> 惡魔「惡魔之力全開！」
<0143> 天使「竟然從倒下的人身上拿走星星！」\n惡魔「為了勝利嘛」
<0144> 天使「這也是恩惠……」\n惡魔「把人揍趴下了還好意思說這種話……」
<0145> 惡魔「這些全都歸我了」\n天使「不行！你得留下一點！」
<0146> 天使「這唰啦唰啦的感覺，頭……頭暈目眩了」
<0147> 惡魔「嗚……你給我記住了……」\n天使「憎恨只會徒增悲傷」
<0148> 惡魔「又被這傢伙給……！」\n天使「控、控制一下情緒」
<0149> 天使「你……你這混蛋……」\n惡魔「喂，沒事吧」
<0150> 天使「可惡啊！絕對不會放過你的！」\n惡魔「冷靜點！」
<0151> 天使「牛先生和青蛙先生？」\n惡魔「不知道你在說什麼啊」
<0152> 天使「熊貓……？」\n惡魔「你在說什麼呢」
<0153> 天使「和以前的角色不一樣……？」\n惡魔「以前的事就忘了吧」
<0154> 天使「中間的是本體？」\n惡魔「你看到什麼了嗎」
