<0000> 我投！
<0092> 雖然很大但好像很遲鈍……沒什麼大不了的！
<0093> 我想收集財寶！
<0094> 我喜歡漂亮的東西～
<0095> 唉～，好忙啊，好忙啊
<0096> 讓我看看……今天的第一份工作是……
<0097> 這種活太輕鬆了
<0098> 畢竟我可是世界第一的飛行員嘛
<0099> 好，今天的訓練就嚴格一些！
<0100> 該找個好欺負的傢伙了～
<0101> 我是梅絲卡爾，請多關照啊
<0102> 要和我一起玩嗎？
<0103> 想玩玩雙六了～
<0104> 一起玩個夠吧！
<0105> 好～，要加油了——！
<0106> 我絕對會贏的！
<0107> 這片場地好像很好玩～！
<0108> 一起加油吧！
<0109> 太好了～贏了～！
<0110> 好開心啊～！
<0111> 太好了！
<0112> 我的傳說才剛剛開始！
<0113> 看起來不錯啊！
<0114> 太好了！是財寶！
<0115> 哇～，這是很貴重很貴重的東西……
<0116> 這東西，你可要好好珍惜啊
<0117> 嗯……交換吧！
<0118> 想要轉換一下心情了～……
<0119> 我要去吃點心……不對，是去戰略性休息！
<0120> 交給你啦！
<0121> 明白～！
<0122> 不錯啊
<0123> OK～
<0124> 嗯……不要
<0125> 好可惜～
<0126> 哦～！太好了～！
<0127> 嗯……嗯？
<0128> 那就上吧！
<0129> 骰子滾啊滾！
<0130> 上啊，上啊，衝吧——！
<0131> 呀吼～！
<0132> 嗯……？我要……
<0133> 不錯啊！
<0134> 哇！
<0135> 怎麼會？怎麼會這樣啊——！
<0136> 它現在是我的東西了，所以我想怎麼用就怎麼用！
<0137> 誰撿到了就歸誰！
<0138> 嗯，嗯，我可是很清楚該怎麼用的哦
<0139> 秘密武器，上啊——！
<0140> 謝、謝謝！
<0141> 你好呀，大姐姐～！你在幹嘛呢？
<0142> 呀吼～，大姐姐～！你好像很閒啊，一起玩吧！
<0143> 我是不是已經變強了啊？
<0144> 嗚哇～！又被大姐姐欺負了！
<0145> 爸爸～！別在這裡鬼混了，快回田裡幹活吧！
<0146> 爸爸～，你丟下田裡的活在這裡搞些什麼啊！
<0147> 那麼今天的碗就由爸爸來洗了！
<0148> 爸爸大笨蛋——！快回田裡幹活啦——！
<0149> 來吧，開始訓練吧！
<0150> 誒？還想多訓練一下？真拿你沒辦法～……
<0151> 哇哈哈～，再多努力個3年的話，你說不定就能打贏我了！
<0152> 剛才的不算！再來一次！再來一次！
<0153> 梅絲卡爾海賊團，出擊——！
<0154> 那就是爸爸說的超級大壞蛋？
<0155> 這鯨魚好帥啊～！大叔你很懂嘛～！
<0156> 你的車挺帥的嘛！它是我的了！
<0157> 喂，我才不需要幫忙！
<0158> 喂！我一個人也能戰鬥的！
<0159> 咦？謝謝！之後我會幫你治療的
<0160> 小的們——，打輸了的話我可饒不了你們啊！
