<0000> 啵
<0098> 拳頭已經迫不及待了啵
<0099> 作為母親要行使暴力實在是有點……可是……
<0100> 有沒有正好能用的沙袋呢啵？
<0101> 想念母親了嗎啵？
<0102> 母親啵、啵、啵
<0103> 呵呵，儘管依賴母親吧啵
<0104> 母親我看起來很有魅力嗎啵？
<0105> 開始了啵
<0106> 再熟悉不過的遊戲了啵
<0107> 呵呵，一起盡情遊戲吧啵
<0108> 競爭又要開始了……
<0109> 勝利之母
<0110> 母親的微笑是不可戰勝的啵
<0111> 竟妄想擊敗母親
<0112> 啵、啵，真是純粹的快樂啊啵
<0113> 別亂花哦啵？
<0114> 你又買了一樣的東西……咦，是別的東西嗎？
<0115> 居然那麼開心……真是個小孩子啊啵
<0116> 真好啊啵
<0117> 和我交換吧啵
<0118> 好了，交換吧啵
<0119> 和母親交換吧啵
<0120> 不好好齊心協力可不行哦啵
<0121> 知道了啵
<0122> 真好啊啵
<0123> 嗯啵
<0124> 不行啵
<0125> 哎呀～
<0126> 運氣真好啊啵
<0127> 困惑啵
<0128> 要上了啵
<0129> 啵～！
<0130> 加油啊啵
<0131> 貴安啵
<0132> 啵啵啵？
<0133> 真厲害啊啵
<0134> 讓母親來誇誇你啵
<0135> 嗯啵——！！
<0136> 借來的東西也要好好利用
<0137> 把Hyper卡借過來了啵
<0138> 既然都把這個力量借過來了，沒好好利用才對不起人家呢啵
<0139> 借母親我一用啵
<0140> 謝謝啵
<0141> 母親的包容力甚至能將暴力化作星星啵
<0142> 哎呀哎呀，小搗蛋鬼啵
<0143> 那活潑的樣子真讓人開心啵
<0144> 真讓人忍不住要露出微笑啊啵
<0145> 大家那麼有活力，讓母親我也變得精力充沛了啵
<0146> 呵呵呵，活潑才是最重要的啵
<0147> 啊，慈愛之心療愈了身體啵
<0148> 被活潑的小孩子們團團圍住真幸福啊啵
<0149> 有得必有失……
<0150> 呼呼……對大人的身體來說有點吃不消了啊啵
<0151> 以前可不會這樣的啊……傳送好累啊啵
<0152> 膝、膝蓋抖個不停啵
<0153> 浪費了資源啵……
<0154> 真浪費……不過……
<0155> 嗚……已經拿不下了啵
<0156> 母親的包容力也已經束手無策了
<0157> 我的孩子到底有多強……讓母親我來看看吧啵
<0158> 呵呵呵，來玩吧啵
<0159> 看到你那麼有活力，母親我很開心啵
<0160> 被孩子超過的喜悅……就是這樣的啊啵
<0161> 多麼令人懷念的力量啊啵
