<0000> 嘿！
<0093> 我要用這力量去收集好多的星星
<0094> 呵呵呵，我想淹沒在閃閃發光的星之海里……
<0095> 啊哈～！我要弄座星星山！
<0096> 呲溜，星星不就是越多越好嗎
<0097> 好好大鬧一通，狠狠地打敗敵人——！
<0098> 啊哈～！力量溢出來了！
<0099> 狩獵的時間到了！啊哈～～！！！！
<0100> 別想妨礙我！是我表現的時候了！
<0101> 你要和我一起嗎？嗯……好啊♡
<0102> 我現在超想玩一通的
<0103> 啊哈～！好好玩個夠吧！
<0104> 唔唔唔，我可能已經要忍不住了！
<0105> 好了，我該和誰一起玩呢？
<0106> 我要把你們全部擊敗！
<0107> 該我大顯身手了！
<0108> 啊哈——！來肆無忌憚大鬧一通吧！
<0109> 呼……好爽啊♡
<0110> 應得的勝利……對吧♡
<0111> 啊哈……獲勝可是最開心的事了……
<0112> 哼哼哼，玩得太開心了
<0113> 讓我看看是什麼東西？
<0114> 哇～，真好啊
<0115> 中了什麼東西？喔～
<0116> 都是因為帶著我才會這麼走運的，要尊敬著我點啊
<0117> 現在就先讓你登場了
<0118> 要是只有我在大顯身手的話也太可憐了吧
<0119> 那麼差不多也該……
<0120> 好啊，換你來吧♡
<0121> OK♡
<0122> 啊哈，真不錯
<0123> 好啊♡
<0124> 不～行♡
<0125> 嗚……為什麼啊……
<0126> 真走運啊！嘻嘻
<0127> 唔欸～？
<0128> Let's go！啊哈～！
<0129> Let's roll！
<0130> 加油啊♡ 加油啊♡
<0131> 呀吼～
<0132> 嗯嗯嗯嗯嗯……
<0133> 好厲害♡
<0134> 超級無敵厲害！
<0135> 咕呶呶呶呶
<0136> 其實就算不用這個我也已經無敵了……
<0137> 猜猜這是什麼？這我也沒數呀！
<0138> 嘿嘿嘿，這下可有趣了
<0139> 會怎麼樣，我好期待呀♡
<0140> 謝啦！
<0141> 露露！我們好好玩一通吧♡
<0142> 露露，你想和我一起玩嗎？好啊
<0143> 我玩得很開心呢，露露♡
<0144> 啊哈，露露的力量，好棒啊……
<0145> 和露露一起的話，那就是最強中的最強了～
<0146> 露露，以後也要一直在一起哦
<0147> 露露最棒了，我也最棒了！
<0148> 啊哈，來好好玩一通吧，露露♡
<0149> 是爸爸啊……
<0150> 煩人！
<0151> 別管我啦
<0152> 臭老頭子——！
<0153> 媽媽～，來玩吧！
<0154> 媽媽，你要陪我玩嗎？
<0155> 媽媽，謝謝你和我玩♡
<0156> 媽媽好厲害～♡
<0157> 媽媽，一起加油吧♡
<0158> 耶，要和媽媽一隊了
<0159> 我要和媽媽一起好好玩個夠
<0160> 媽媽……可以牽著手嗎？
<0161> 各位，準備好開始戰鬥了嗎！
