<0000> 嘿
<0116> 呵呵呵，你可真興奮啊
<0117> 可以和我交換一下嗎？
<0118> 交給你了
<0119> 呵呵，換一下人
<0120> 靠你了
<0121> OK
<0122> 真好
<0123> 嗯
<0124> 不行啊
<0125> 呶咕
<0126> 真幸運
<0127> 嗯～？
<0128> 好，我們上吧
<0129> 骰子
<0130> 要上了
<0131> Hello
<0132> 嗯……
<0133> 不錯啊
<0134> 很厲害嘛
<0135> 真是的，不行啊
<0136> 你的王牌，就讓我來用吧
<0137> 我的手中竟然有這種卡片……呵呵
<0138> 真是張好卡，好像會變得有趣起來了
<0139> 是這麼用的嗎？
<0140> 克里拉，能讓我稍微做個手術嗎？
<0141> 哎呀克里拉，來找我幫你做手術嗎？
<0142> 呵呵呵，你的病因是貧窮……讓我來幫你治療吧……
<0143> 你的那個野獸，有點太兇殘了吧？
<0144> 全身都是紅色！這是病了啊！
<0145> 那異常腫大的耳朵……有必要做一下手術了
<0146> 好了，開始手術吧
<0147> 在、在無可挽回之前必須送去醫院……！
<0148> 沒有下半身！看來是病了吧？
<0149> 我說你，把下半身丟到哪去了……？
<0150> 那麼巨大，有做手術的價值啊
<0151> 只有上半身卻這麼有活力……太異常了
<0152> 你的那對肩膀……真是奇病啊……
<0153> 那毫無生氣的目光……是心病……！！
<0154> 放心吧，我會幫你治療的
<0155> 連我的手術刀都切不開……這對肩膀到底是怎麼回事……
<0156> 沒事吧？要做手術嗎？
<0157> 哎呀，有傷者？讓我來治療吧？
<0158> 哎呀呀……是急症病患嗎
<0159> 看起來有人倒下了……該我出場了嗎
