<0000> 嘿
<0141> 笨蛋老鼠！找到你了！！
<0142> 啵噗啵噗的叫個沒完！
<0143> 滅鼠時間——！
<0144> 滅鼠完畢
<0145> 我要將老鼠斬草除根
<0146> 呼，爽快多了♥
<0147> 接招接招，怎樣，認輸了嗎！
<0148> 露露！該你出場了
<0149> 這裡就交給露露處理吧
<0150> 啊哈～♥　露露～！
<0151> 交給你啦，露露！
<0152> 啊哈～♥　變得挺強的了！
<0153> 他們這種程度的話，這樣已經足夠了吧？
<0154> 啊哈～♥　變得超強了
<0155> 現在的我已經是奇蹟般的強大了！
<0156> 啊哈……啊哈……啊哈～♥♥♥
<0157> 變、變得強過頭了……啊哈……！
<0158> 有很多老鼠的氣息……
<0159> 啊哈～！狩獵時間！
<0160> 你們這群臭老鼠！準備受死吧——！
<0161> 這個氣味……有好多老鼠……！
