
// ========= Scene:  Winter 2022 Opening =========

// (mio)
<0000> 「呵呵呵，成功了，\n這下小兔萌萌絕對會很喜歡的♥」
// ========= Scene:  Ending 1 (Sweet Gods win) =========

// (sweetcreator)
<0042> 「我們甜點之神大獲全勝～！」

// (mio)
<0043> 「嗚嗚……\n我只是想讓大家都來吃我做的蛋糕而已……」

// (sweeteater)
<0044> 「雖然好像是真的喜歡吃甜點，\n但那個味道還是算了吧……」

// (sweetblogger)
<0045> 「那就讓我們來教你怎麼做蛋糕吧～」

// (sweetmaker)
<0046> 「魅櫻小姐，你基本功不錯，\n很快就能做出好吃的蛋糕了！」

// (mio)
<0047> 「真的～？」

// (sweetbreaker)
<0048> 「嗯，當然了，我們可是甜點之神呢。」

// (sweetguardian)
<0049> 「這樣魅櫻小姐就會開心，\n我們也會開心了！」

// (mio)
<0050> 「我知道了……！\n那我們就一起做蛋糕吧♥」

// (sweetcreator)
<0051> 「很好，既然已經定下來了，\n那就趕快回我家做蛋糕吧！」

// (everyone)
<0052> 「好——！」

// ========= Scene:  Ending 2 (Mio wins) =========

// (mio)
<0053> 「呵呵呵～是我贏了♥\n我就說嘛，生氣的我是無法阻止的。」

// (sweeteater)
<0054> 「為什麼那讓人噁心想吐的蛋糕會那麼\n受歡迎！？」

// (sweetguardian)
<0055> 「雖然很難吃，但試著再吃一次的時候就會覺得\n其實也沒有那麼糟糕。」

// (sweetblogger)
<0056> 「被說是別出心裁的蛋糕，在甜點評論界都\n成為熱門話題了～\n大家都想知道這到底是怎麼做出來的。」

// (sweetcreator)
<0057> 「甜點是很深奧的。\n看來連我都還有需要學習的東西啊。」

// (sweetbreaker)
<0058> 「是啊，斷定它是不好的東西或許\n為時過早了。」

// (sweetmaker)
<0059> 「魅櫻小姐，請務必教我怎麼做這種蛋糕！\n作為一個製作甜點的人，感覺有必要學會\n它的菜譜！」

// (mio)
<0060> 「當然可以啦～♥」

// (sweetcreator)
<0061> 「很好，既然已經定下來了，\n那就趕快回我家做蛋糕吧！」

// (everyone)
<0062> 「好——！」

// (sweeteater)
<0063> 「喂、喂、喂——！\n別把我丟在一邊不管啊～！」

