
<0000> 「由希，把布丁還給我！」
<0152> 「真的太好吃了。我想要烤……\n更多更多好吃的東西。」
<0153> 「星球破壞者，\n想在戰鬥之外的地方使用\n自己的力量嗎……？」
<0154> 「因為，\n我現在還很餓嘛。」
<0155> 「……」
<0156> 「雖然只是偶然\n但竟然阻止了星球的導火線。」
<0157> 「這才不是偶然，\n這是甜點的力量……布丁的力量。」
<0158> 「嗯，說的沒錯。」
<0159> 「儘管非常美味的甜點可能會引發爭鬥，\n但那美好的味道也能阻止爭鬥呢。」
<0160> 「甜點破壞者！\n那麼封印布丁的事……」
<0161> 「再觀察一陣子吧。」
<0162> 「太棒了！」
<0163> 「不要管那麼多啦，\n快點一起來烤更多甜點吧！」
<0164> 「好吧。不過不用著急嘛，\n接下來一起做牛奶布丁怎麼樣？」
<0165> 「小甜破……\n那種甜點是不需要烤的……」
<0166> 「無所謂啦，\n好吃的話不管用不用烤都可以啦。」
<0167> 「根本不在乎嗎！？」
<0168> 「呵呵呵。」
<0169> 「我是甜點破壞者，\n祈願著甜點之力可終結一切爭鬥。」
