// intro
// (kanata)
<0000> 「咕哇……」
<0084> （雖然只是悄悄告訴你，不過姬世小姐已經把\n瑪麗·啵噗復出的事情大張旗鼓地發到SNS上去了……）
// (popomi)
<0085> 「哈！？」
// (suishou)
<0086> （和姬世小姐不同，有些人可能會趁你現在\n技巧生疏，與你交手賺取名聲，請務必\n多加小心。）
// (popomi)
<0087> 「喂，須藤，你怎麼能隨便把別人的個人\n情報——」
// (rinse)
<0088> 「小留果，小奈多，還有大家，下次一定要再和我對戰啊。」
// (rinse)
<0089> 「還有瑪麗，你要多和強敵戰鬥戰鬥再戰鬥……\n儘快努力找回狀態吧。\n我就先告辭了。」
// (mimomo)
<0090> 「隨、隨心所欲鬧了一通就跑了……」
// (haruka)
<0091> 「不好意思啦，我們發小就是這樣的一個人。」
// (chuu)
<0092> 「儘管發生了不少事，但最後水晶說的事情很讓人在意啊。」
// (mimomo)
<0093> 「也就是說有人會盯上啵啵美還沒找回狀態的機會。」
// (popomi)
<0094> 「啵啵我倒是無所謂。\n無論是找回狀態還是培養後輩，強勁的對手都是不可或缺的！」
// (popomi)
<0095> 「大家一起努力變強！然後我們一起去！」
// (popomi)
<0096> 「全國百橙錦標賽！」
// (everyone)
<0097> 「百橙錦標賽！？」
// (renko)
<0098> 「喂？前輩。\n對決好像已經結束了。」
// (unknown)
<0099> 「瑪麗·啵噗狀態如何？」
// (renko)
<0100> 「看來她還沒能恢復到之前的實力。」
// (unknown)
<0101> 「不錯不錯，儘管上次失手了，但這一次會是幹掉她的好時機。」
// (renko)
<0102> 「誒～\n不覺得這樣有點卑鄙嗎，前輩。」
// (unknown)
<0103> 「你在說什麼呢，煉子。\n這都怪她自己狀態下滑，能有什麼卑鄙的。」
// (renko)
<0104> 「嗯……\n話是這麼說沒錯。」
// (unknown)
<0105> 「不過嘛，要是能贏得了的話，我也不介意用上灌鉛骰子。」
// (renko)
<0106> 「咦？」
// (unknown)
<0107> 「不管怎樣，能夠打倒瑪麗·啵噗，成為百橙冠軍的，一定會是我們鉾須賀高中。」

