
<0000> 「今天也是好天氣！\n真是個適合飛行的好日子。」
<0220> 「……玩得好開心。」
<0221> 「好！趁現在！」
<0222> 「啵！？」
<0223> 「啵啵啵！？」
<0224> 「抓到了！」
<0225> 「成功了！」
<0226> 「嗯……好像也並非如此啊。」
<0227> 「咦……！？」
<0228> 「不會是……」
<0229> 「又變多了嗎——！？」
<0230> 「呃……要把那一個也抓住嗎。」
<0231> 「啵啵啵……\n跟過來吧啵噗！」
<0232> 「咦？」
<0233> 「接下來又是什麼……」
<0234> 「這裡是什麼地方？」
<0235> 「真是個讓人不舒服的地方。」
<0236> 「感覺好難受……頭好暈。」
<0237> 「不穩定的地方……」
<0238> 「好奇怪的世界。」
<0239> 「終於來了啵噗！」
<0240> 「啵噗！」
<0241> 「啵啵啵。」
<0242> 「把他們帶過來了啵噗。」
<0243> 「呵呵呵……啵噗……\n幹得好。」
<0244> 「那個人是……」
<0245> 「鏘鏘！我是兔萌萌大人！」
<0246> 「誰啊！？」
<0247> 「我就是這次事件的黑幕，\n同時還是你們的媽媽！」
<0248> 「這次……事件？」
<0249> 「毫無頭緒。」
<0250> 「對吧。」
<0251> 「什麼的黑幕？」
<0252> 「是個脫線的傢伙！」
<0253> 「你們被偷走了很多東西吧！\n這件事的黑幕就是我啦！」
<0254> 「那你就是……盜竊團嗎！？」
<0255> 「竟然給大家添麻煩，\n我們不會放過你的！」
<0256> 「這種事可不能視而不見！」
<0257> 「我的正義感也在嗶嗶作響了！」
<0258> 「做壞事可不行啊。」
<0259> 「治外法權！」
<0260> 「小Q，你的話根本不知所云啊。」
<0261> 「我說啊！剛才的話被你們岔開了，\n我再重新說一遍！」
<0262> 「我是這個世界和你們的創造主！」
<0263> 「你們是我參照其它世界的人物製作出來的。」
<0264> 「我的目的是，\n作為這個故事的最終Boss而引人注目！」
<0265> 「完畢！明白了嗎？」
<0266> 「明明我們什麼都沒問，\n她竟然就全都解答了……」
<0267> 「她生病了吧。」
<0268> 「她是變態吧。」
<0269> 「好可憐啊。」
<0270> 「明明死掉就好了。」
<0271> 「好過分！」
<0272> 「算了！既然這樣的話！」
<0273> 「那我就絕對不讓你們通關好了！」
<0274> 「最終Boss的恐怖！\n就讓你們好好體會一下吧！」
<0275> 「結束了——」
<0276> 「我……我輸了。」
<0277> 「總之我們也把東西都拿回來了。」
<0278> 「這樣就可以結束了吧？」
<0279> 「嗯。」
<0280> 「玩得好開心。」
<0281> 「嗚嗚嗚……好不甘心……好不甘心啊。」
<0282> 「真是的，拿你沒辦法啊。」
<0283> 「什麼時候還想玩的話，\n就再把我們叫過來吧。」
<0284> 「真的可以嗎？」
<0285> 「嗯。」
<0286> 「那我們就約好了！我們可是朋友啊！」
<0287> 「嗯……嗯。」
<0288> 「好拼命啊……」
<0289> 「真是可憐啊。」
<0290> 「……」
<0291> 「最終Boss的魅力已經一點都不剩了。」
<0292> 「煩死啦——！」
<0293> 「那我們就都是朋友了！」
<0294> 「我叫你們的話可要過來啊！絕對要來啊！」
<0295> 「該怎麼說呢……」
