
<0000> 「哼哼哼～哼～♪」
<0181> 「呀吼～！我贏了！」
<0182> 「啵啵……」
<0183> 「這麼多人一起玩真有趣啊。」
<0184> 「嗯，好久沒這麼興奮了。」
<0185> 「我說啊，QP。」
<0186> 「怎麼了，瑪兒小姐。」
<0187> 「只是普普通通地在玩遊戲就不對了吧……」
<0188> 「啊！？」
<0189> 「喂喂！」
<0190> 「該怎麼辦呢？」
<0191> 「包圍也沒有用……\n有什麼好的作戰方案嗎……」
<0192> 「啵……啵……啵。」
<0193> 「……嗯？」
<0194> 「怎麼感覺她的樣子有點奇怪？」
<0195> 「怎麼了？身體不舒服嗎？」
<0196> 「啵———————！！！！！」
<0197> 「哇！發生什麼事了！！」
<0198> 「這裡是……什麼地方？」
<0199> 「好像被帶到了其它的世界。」
<0200> 「而且……這世界好黑啊。」
<0201> 「感覺在這種地方飛行也不會覺得心情舒暢。」
<0202> 「啵噗！」
<0203> 「啵噗噗。」
<0204> 「啊！啵噗！」
<0205> 「可不會再讓你逃掉了哦……咦？」
<0206> 「好像有點奇怪啊……啵噗那傢伙。」
<0207> 「啵啵？」
<0208> 「啵啵～」
<0209> 「不管怎麼看都有兩隻。」
<0210> 「不好了！\n這下就不知道布丁在哪個啵噗手裡了！」
<0211> 「是那種問題嗎！」
<0212> 「發現了個不可思議的生物……」
<0213> 「是誰！？」
<0214> 「……好可愛……」
<0215> 「害羞了啵噗～」
<0216> 「啵噗噗～♪\n但是啵噗更可愛啵。」
<0217> 「才沒有那回事啵噗！啵噗更可愛！」
<0218> 「啵噗噗！」
<0219> 「啵噗噗噗！！！」
<0220> 「她們好像……吵起來了啊。」
<0221> 「這氣氛好像要打起來了一樣！？」
<0222> 「啵噗她們……\n還帶著火箭吧。」
<0223> 「啊哇哇，\n要是不小心的話，可是會爆炸的啊。」
<0224> 「……這樣下去可就危險了。」
<0225> 「快點阻止她們！！」
<0226> 「總算是阻止了爆炸。」
<0227> 「吵架可不行啊。」
<0228> 「啵～」
<0229> 「啵啵～」
<0230> 「不管哪個都一樣可愛。」
<0231> 「啵啵～♪」
<0232> 「啵啵～♪」
<0233> 「很好！這樣事情就搞定了……」
<0234> 「什麼都沒搞定吧。」
<0235> 「不管是為什麼啵噗變成了兩隻。」
<0236> 「還是我們的東西。」
<0237> 「啊。」
<0238> 「啵噗。」
<0239> 「沒事的啵。」
<0240> 「嗯？」
<0241> 「接下來就要結束了啵噗。」
<0242> 「這是什麼意思……」
<0243> 「咦？總覺得……」
<0244> 「世界……在扭曲。」
<0245> 「這就是最終Boss的預感吧！」
<0246> 「這個空間是……！」
<0247> 「果然是最終決戰的感覺。」
<0248> 「這種不祥的感覺真讓人興奮。」
<0249> 「但讓人感覺有點不舒服。」
<0250> 「不穩定的地方……」
<0251> 「啵噗～！」
<0252> 「小啵噗！？」
<0253> 「終於來了嗎！勇者！」
<0254> 「那臺詞是……魔王！？」
<0255> 「呵呵呵！沒錯！」
<0256> 「我是暗黑大帝兔萌萌大人！」
<0257> 「咦——」
<0258> 「總覺得……有點那個啊。」
<0259> 「有種不知道該如何表達的失望的感覺……」
<0260> 「我明明還挺期待的……」
<0261> 「啊哈哈……」
<0262> 「連魅力的魅字都沾不上邊！」
<0263> 「把剛才激動不已的心情還給我！」
<0264> 「你們居然都這麼直言不諱！\n嗚哇！」
<0265> 「話先說在前面！不管是這個世界還是你們，\n全都是我製作出來的東西！」
<0266> 「哦哦！Boss風格的發言！」
<0267> 「你們都是我參考其它世界的人制作出來的\n棋子。」
<0268> 「這都是為了讓我作為最終Boss登場時能夠\n更加引人注目。」
<0269> 「這一切就是這樣的計劃！」
<0270> 「咦——」
<0271> 「這算什麼理由。」
<0272> 「果然不是最終Boss的料！」
<0273> 「煩死啦！」
<0274> 「既然如此就只好讓你們見識一下\n我的力量了！」
<0275> 「我就將你們在此打倒，\n讓你們見識一下最終Boss的魅力！」
<0276> 「恰啦～啦～啦～～！\n贏了！」
<0277> 「……不可能……」
<0278> 「雖然很遺憾。」
<0279> 「可還是得接受現實啊。」
<0280> 「感覺有點可憐啊。」
<0281> 「嗯，好可憐。」
<0282> 「不要同情我！哇啊——！」
<0283> 「哭之前還有別的事情要做吧。」
<0284> 「快把我的布丁還回來！」
<0285> 「QP……毫不留情啊。」
<0286> 「嗚嗚……我知道啦——」
<0287> 「啵噗，把大家的東西都還回去吧。」
<0288> 「啵噗！」
<0289> 「太好了！」
<0290> 「錢包！這下這個月也能放心了。」
<0291> 「總算拿回來了……\n這樣我就可以繼續工作了。」
<0292> 「我也得快點把這個拿回去。」
<0293> 「太好了，各位。」
<0294> 「既然布丁也拿回來了，\n待在這裡已經沒有意義了！」
<0295> 「趕緊回家開始點心時間！」
<0296> 「喂！等一下！」
<0297> 「才不等呢！」
<0298> 「我的話還沒……」
<0299> 「唔哦哦哦哦！」
<0300> 「走掉了……」
<0301> \n \n　　　　　　　在QP家
<0302> 「呼……勞碌後的布丁果然美味啊。」
<0303> 「啊嗚啊嗚……」
<0304> 「今天也是幸福的一天啊。」
