
// ========= Scene: Stage 1 =========

// (lulu)
<0000> 「嗚……好冷……」
<0175> 「艾莉，\n扇動那對翅膀吧。」

// (ellie)
<0176> 「誒，啊，這樣嗎。」

// (ellie)
<0177> 「啊、啊、啊哈——！！」

// (ellie)
<0178> 「好、好厲害啊露露，\n我飛起來了！」

// (lulu)
<0179> 「呼，得救了……」

// (ellie)
<0180> 「哈，哈，\n突、突然發生了好多事，\n頭都開始暈起來了。」

// (ellie)
<0181> 「那個那個，\n這個蛋裡的翅膀是什麼？\n是露露生出來的吧？」

// (lulu)
<0182> 「不、不清楚，\n但是，每當艾莉為露露著想的時候，\n露露的肚子就會熱起來。」

// (lulu)
<0183> 「然後在那個時候，\n突然就生下來了……」

// (ellie)
<0184> 「……原來如此，\n雖然還不太明白。」

// (ellie)
<0185> 「總而言之，\n這個翅膀是我們愛的結晶，\n也就是我們的孩子了！」

// (lulu)
<0186> 「是、是這樣嗎？」

// (ellie)
<0187> 「嗯……\n這可不得了了啊露露，\n有孩子了的話就意味著……」

// (ellie)
<0188> 「為了負起責任，\n我們必須永遠都待在一起！」

// (lulu)
<0189> 「誒、誒？」

// (ellie)
<0190> 「所以露露。」

// (ellie)
<0191> 「一起旅行吧。」

// (lulu)
<0192> 「誒、誒誒！」

// (ellie)
<0193> 「當、當然了，\n前提是露露願意的話。」

// (lulu)
<0194> 「當、當然沒問題！\n露露很樂意！」

// (lulu)
<0195> 「露露也想和艾莉一起旅行！」

// (ellie)
<0196> 「啊哈～♥　太好了！」

// (lulu)
<0197> 「啊哈～呵呵。」

// (lulu)
<0198> 「嗯……那麼艾莉。」

// (lulu)
<0199> 「以後就煩勞你照顧了。」

// (ellie)
<0200> 「我才是呢，\n以後就麻煩你了，露露！」

